Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: cumulative time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9266    0.022    0.000    0.991    0.000 SP/matplotlib/markers.py:220(__init__)
      637    0.013    0.000    0.987    0.002 PyAutoFit/autofit/graphical/factor_graphs/factor.py:318(__call__)
       60    0.056    0.001    0.983    0.016 PyAutoFit/autofit/mapper/prior_model/abstract.py:2196(log_prior_list_from)
       45    0.015    0.000    0.981    0.022 SP/matplotlib/axes/_axes.py:3515(errorbar)
    32613    0.197    0.000    0.980    0.000 SP/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
96889/90249    0.115    0.000    0.979    0.000 {built-in method builtins.next}
      508    0.011    0.000    0.978    0.002 SP/scipy/_lib/_array_api.py:840(decorator)
      669    0.008    0.000    0.972    0.001 SP/scipy/_lib/_docscrape.py:140(__init__)
  139/102    0.001    0.000    0.969    0.009 SP/pyparsing/core.py:5230(parseImpl)
   293313    0.578    0.000    0.968    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:8(<lambda>)
  273/104    0.002    0.000    0.968    0.009 SP/pyparsing/core.py:5119(parseImpl)
     2639    0.022    0.000    0.966    0.000 PyAutoFit/autofit/messages/interface.py:59(logpdf)
     1379    0.007    0.000    0.966    0.001 PyAutoFit/autofit/graphical/laplace/line_search.py:140(value)
     4237    0.050    0.000    0.959    0.000 SP/matplotlib/font_manager.py:1293(findfont)
      301    0.007    0.000    0.959    0.003 PyAutoFit/autofit/graphical/mean_field.py:724(__call__)
     5724    0.324    0.000    0.954    0.000 SP/numpy/lib/_function_base_impl.py:2680(cov)
      120    0.002    0.000    0.954    0.008 PyAutoFit/autofit/non_linear/samples/pdf.py:281(errors_at_lower_sigma)
      300    0.004    0.000    0.941    0.003 PyAutoFit/autofit/graphical/laplace/line_search.py:212(phi)
      120    0.002    0.000    0.940    0.008 PyAutoFit/autofit/non_linear/samples/pdf.py:257(errors_at_upper_sigma)
       51    0.001    0.000    0.934    0.018 PyAutoFit/autofit/graphical/expectation_propagation/history.py:232(__call__)
    62949    0.120    0.000    0.933    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1955(prior_count)
       41    0.000    0.000    0.931    0.023 PyAutoFit/autofit/graphical/expectation_propagation/history.py:283(is_converged)
       41    0.000    0.000    0.930    0.023 PyAutoFit/autofit/graphical/expectation_propagation/history.py:263(is_kl_converged)
       17    0.001    0.000    0.930    0.055 PyAutoFit/autofit/graphical/expectation_propagation/history.py:166(kl_divergences)
       41    0.000    0.000    0.929    0.023 PyAutoFit/autofit/graphical/expectation_propagation/history.py:28(wrapper)
       41    0.000    0.000    0.929    0.023 PyAutoFit/autofit/graphical/expectation_propagation/history.py:131(kl_divergence)
   766957    0.353    0.000    0.924    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.916    0.916 SP/pandas/core/api.py:1(<module>)
     1452    0.023    0.000    0.913    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
     9266    0.061    0.000    0.912    0.000 SP/matplotlib/markers.py:299(_set_marker)
       30    0.012    0.000    0.905    0.030 PyAutoFit/autofit/non_linear/samples/samples.py:322(write_table)
        1    0.000    0.000    0.903    0.903 PyAutoFit/autofit/graphical/expectation_propagation/history.py:320(kl_divergences)
       30    0.002    0.000    0.894    0.030 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/static.py:113(search_internal_from)
     6427    0.052    0.000    0.885    0.000 PyAutoFit/autofit/messages/interface.py:275(sum_natural_parameters)
    63647    0.226    0.000    0.881    0.000 SP/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
       30    0.001    0.000    0.864    0.029 SP/matplotlib/axes/_base.py:4617(twinx)
      136    0.011    0.000    0.854    0.006 SP/matplotlib/artist.py:158(_update_set_signature_and_docstring)
      340    0.005    0.000    0.852    0.003 SP/matplotlib/axes/_base.py:3318(grid)
      680    0.007    0.000    0.847    0.001 SP/matplotlib/axis.py:1696(grid)
      135    0.002    0.000    0.846    0.006 SP/matplotlib/artist.py:125(__init_subclass__)
      719    0.013    0.000    0.844    0.001 SP/matplotlib/axis.py:1606(_copy_tick_props)
    12145    0.270    0.000    0.843    0.000 SP/scipy/_lib/_array_api.py:524(xp_promote)
    81902    0.320    0.000    0.841    0.000 SP/numpy/_core/numerictypes.py:381(isdtype)
     1767    0.009    0.000    0.838    0.000 SP/matplotlib/axis.py:1523(get_majorticklocs)
   615536    0.637    0.000    0.810    0.000 PyAutoFit/autofit/non_linear/samples/sample.py:104(parameter_lists_for_paths)
14012/11470    0.026    0.000    0.810    0.000 STDLIB/copy.py:191(_deepcopy_list)
       30    0.001    0.000    0.805    0.027 SP/matplotlib/axes/_base.py:4595(_make_twin_axes)
     8120    0.098    0.000    0.799    0.000 SP/scipy/_lib/array_api_extra/_lib/_funcs.py:60(apply_where)
    32644    0.095    0.000    0.796    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1533(log_prior_list_from_vector)
       30    0.018    0.001    0.790    0.026 PyAutoFit/autofit/text/formatter.py:226(write_table)
       30    0.001    0.000    0.773    0.026 PyAutoFit/autofit/non_linear/search/updater.py:296(_profile_and_summarize)
       45    0.006    0.000    0.767    0.017 SP/matplotlib/axes/_axes.py:1190(vlines)
    64463    0.262    0.000    0.762    0.000 SP/numpy/_core/fromnumeric.py:1251(argmax)
       31    0.194    0.006    0.758    0.024 SP/matplotlib/font_manager.py:1453(_findfont_cached)
       30    0.002    0.000    0.752    0.025 PyAutoFit/autofit/non_linear/paths/abstract.py:620(save_summary)
     2230    0.020    0.000    0.743    0.000 SP/matplotlib/lines.py:1352(update_from)
      669    0.024    0.000    0.739    0.001 SP/scipy/_lib/_docscrape.py:388(_parse)
       35    0.001    0.000    0.738    0.021 PyAutoFit/autofit/graphical/laplace/optimiser.py:190(make_mode_hessian)
    54168    0.570    0.000    0.734    0.000 SP/numpy/lib/_twodim_base_impl.py:163(eye)
    28581    0.567    0.000    0.734    0.000 SP/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
       15    0.005    0.000    0.733    0.049 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:508(live_points_init_from)
       35    0.004    0.000    0.728    0.021 PyAutoFit/autofit/graphical/laplace/newton.py:166(finite_difference_hessian)
       15    0.000    0.000    0.724    0.048 PyAutoFit/autofit/non_linear/initializer.py:63(samples_from_model)
       15    0.012    0.001    0.723    0.048 PyAutoFit/autofit/non_linear/initializer.py:147(samples_jax)
     4313    0.078    0.000    0.714    0.000 SP/matplotlib/text.py:157(_reset_visual_defaults)
       60    0.011    0.000    0.711    0.012 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:318(samples_info_from)
       45    0.004    0.000    0.702    0.016 PyAutoFit/autofit/text/text_util.py:55(result_info_from)
    97767    0.222    0.000    0.701    0.000 SP/scipy/_lib/array_api_compat/numpy/_aliases.py:70(asarray)
       17    0.000    0.000    0.701    0.041 PyAutoFit/autofit/graphical/expectation_propagation/history.py:155(evidences)
      750    0.037    0.000    0.688    0.001 SP/matplotlib/axis.py:888(reset_ticks)
        1    0.000    0.000    0.687    0.687 PyAutoFit/autofit/graphical/expectation_propagation/history.py:316(evidences)
531330/531060    0.643    0.000    0.665    0.000 {built-in method numpy.asarray}
  194/133    0.001    0.000    0.663    0.005 <frozen importlib._bootstrap_external>:1299(exec_module)
  194/133    0.203    0.001    0.660    0.005 {built-in method _imp.exec_dynamic}
     1747    0.472    0.000    0.658    0.000 SP/matplotlib/backends/backend_agg.py:93(draw_path)
      150    0.002    0.000    0.658    0.004 SP/matplotlib/artist.py:1834(kwdoc)
       90    0.004    0.000    0.650    0.007 PyAutoFit/autofit/text/samples_text.py:15(summary)
    32363    0.072    0.000    0.642    0.000 SP/scipy/_lib/array_api_compat/_internal.py:33(wrapped_f)
    72485    0.248    0.000    0.641    0.000 STDLIB/copy.py:61(copy)
        1    0.001    0.001    0.637    0.637 SP/scipy/stats/_stats_py.py:1(<module>)
